geoid,name,median,school district (unified),state
0100660,"Chilton County School District, Alabama",678.0,00660,01
0100690,"Choctaw County School District, Alabama",521.0,00690,01
0100750,"Clay County School District, Alabama",482.0,00750,01
0100780,"Cleburne County School District, Alabama",550.0,00780,01
0100810,"Coffee County School District, Alabama",676.0,00810,01
0100840,"Colbert County School District, Alabama",619.0,00840,01
0100870,"Conecuh County School District, Alabama",566.0,00870,01
0102250,"Marengo County School District, Alabama",723.0,02250,01
0102310,"Marion County School District, Alabama",520.0,02310,01
0102350,"Midfield City School District, Alabama",913.0,02350,01
0102370,"Mobile County School District, Alabama",823.0,02370,01
0102400,"Monroe County School District, Alabama",499.0,02400,01
0102430,"Montgomery County School District, Alabama",840.0,02430,01
0102480,"Morgan County School District, Alabama",600.0,02480,01
0102490,"Mountain Brook City School District, Alabama",1225.0,02490,01
0102610,"Opp City School District, Alabama",540.0,02610,01
0100189,"Satsuma City School District, Alabama",969.0,00189,01
0100188,"Chickasaw City School District, Alabama",901.0,00188,01
0100190,"Alabaster City School District, Alabama",983.0,00190,01
0100185,"Saraland City School District, Alabama",886.0,00185,01
0102520,"Muscle Shoals City School District, Alabama",742.0,02520,01
0102550,"Oneonta City School District, Alabama",672.0,02550,01
0102580,"Opelika City School District, Alabama",690.0,02580,01
0102635,"Oxford City School District, Alabama",802.0,02635,01
0102640,"Ozark City School District, Alabama",581.0,02640,01
0102650,"Pell City City School District, Alabama",730.0,02650,01
0102670,"Perry County School District, Alabama",512.0,02670,01
0102700,"Phenix City City School District, Alabama",792.0,02700,01
0102730,"Pickens County School District, Alabama",429.0,02730,01
0102760,"Piedmont City School District, Alabama",535.0,02760,01
0102790,"Pike County School District, Alabama",583.0,02790,01
0102820,"Randolph County School District, Alabama",663.0,02820,01
0102850,"Roanoke City School District, Alabama",562.0,02850,01
0102880,"Russell County School District, Alabama",736.0,02880,01
0102910,"Russellville City School District, Alabama",601.0,02910,01
0102940,"Scottsboro City School District, Alabama",603.0,02940,01
