geoid,name,universe,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,school district (unified),state
0100660,"Chilton County School District, Alabama",43229.0,21309.0,21920.0,37962.0,18917.0,19045.0,3589.0,1659.0,1930.0,1074.0,517.0,557.0,518.0,202.0,316.0,86.0,14.0,72.0,00660,01
0100690,"Choctaw County School District, Alabama",13084.0,6214.0,6870.0,11656.0,5518.0,6138.0,1006.0,421.0,585.0,172.0,101.0,71.0,231.0,160.0,71.0,19.0,14.0,5.0,00690,01
0100750,"Clay County School District, Alabama",13300.0,6434.0,6866.0,12066.0,5811.0,6255.0,877.0,512.0,365.0,230.0,56.0,174.0,102.0,47.0,55.0,25.0,8.0,17.0,00750,01
0100780,"Cleburne County School District, Alabama",14458.0,7131.0,7327.0,12343.0,6213.0,6130.0,1079.0,530.0,549.0,428.0,159.0,269.0,582.0,228.0,354.0,26.0,1.0,25.0,00780,01
0100810,"Coffee County School District, Alabama",18746.0,9470.0,9276.0,16568.0,8341.0,8227.0,663.0,282.0,381.0,736.0,348.0,388.0,704.0,440.0,264.0,75.0,59.0,16.0,00810,01
0100840,"Colbert County School District, Alabama",23057.0,11368.0,11689.0,20997.0,10457.0,10540.0,1147.0,528.0,619.0,631.0,235.0,396.0,241.0,133.0,108.0,41.0,15.0,26.0,00840,01
0100870,"Conecuh County School District, Alabama",12506.0,6001.0,6505.0,11967.0,5664.0,6303.0,324.0,220.0,104.0,180.0,89.0,91.0,28.0,21.0,7.0,7.0,7.0,0.0,00870,01
0102250,"Marengo County School District, Alabama",8597.0,4184.0,4413.0,8014.0,3819.0,4195.0,312.0,214.0,98.0,226.0,137.0,89.0,28.0,0.0,28.0,17.0,14.0,3.0,02250,01
0102310,"Marion County School District, Alabama",24654.0,12012.0,12642.0,21486.0,10452.0,11034.0,1401.0,649.0,752.0,1302.0,711.0,591.0,435.0,186.0,249.0,30.0,14.0,16.0,02310,01
0102350,"Midfield City School District, Alabama",5164.0,2411.0,2753.0,4584.0,2154.0,2430.0,491.0,189.0,302.0,57.0,57.0,0.0,8.0,0.0,8.0,24.0,11.0,13.0,02350,01
0102370,"Mobile County School District, Alabama",383584.0,183787.0,199797.0,334524.0,159404.0,175120.0,37889.0,18601.0,19288.0,3794.0,1706.0,2088.0,6456.0,3505.0,2951.0,921.0,571.0,350.0,02370,01
