geoid,name,median,school district (unified),state
0100660,"Chilton County School District, Alabama",46722.0,00660,01
0100690,"Choctaw County School District, Alabama",47295.0,00690,01
0100750,"Clay County School District, Alabama",42207.0,00750,01
0100780,"Cleburne County School District, Alabama",40763.0,00780,01
0100810,"Coffee County School District, Alabama",51222.0,00810,01
0100840,"Colbert County School District, Alabama",47827.0,00840,01
0100870,"Conecuh County School District, Alabama",32538.0,00870,01
0102250,"Marengo County School District, Alabama",47390.0,02250,01
0102310,"Marion County School District, Alabama",34285.0,02310,01
0102350,"Midfield City School District, Alabama",32719.0,02350,01
0102370,"Mobile County School District, Alabama",56092.0,02370,01
0102400,"Monroe County School District, Alabama",40746.0,02400,01
0102430,"Montgomery County School District, Alabama",62812.0,02430,01
0102480,"Morgan County School District, Alabama",50130.0,02480,01
0102490,"Mountain Brook City School District, Alabama",133523.0,02490,01
0102610,"Opp City School District, Alabama",35801.0,02610,01
0100189,"Satsuma City School District, Alabama",61313.0,00189,01
0100188,"Chickasaw City School District, Alabama",37656.0,00188,01
0100190,"Alabaster City School District, Alabama",77795.0,00190,01
0100185,"Saraland City School District, Alabama",62855.0,00185,01
0102520,"Muscle Shoals City School District, Alabama",55352.0,02520,01
0102550,"Oneonta City School District, Alabama",55512.0,02550,01
0102580,"Opelika City School District, Alabama",57082.0,02580,01
0102635,"Oxford City School District, Alabama",54410.0,02635,01
0102640,"Ozark City School District, Alabama",47783.0,02640,01
0102650,"Pell City City School District, Alabama",48713.0,02650,01
0102670,"Perry County School District, Alabama",30658.0,02670,01
0102700,"Phenix City City School District, Alabama",51347.0,02700,01
0102730,"Pickens County School District, Alabama",51596.0,02730,01
0102760,"Piedmont City School District, Alabama",33297.0,02760,01
0102790,"Pike County School District, Alabama",47713.0,02790,01
0102820,"Randolph County School District, Alabama",42823.0,02820,01
0102850,"Roanoke City School District, Alabama",41756.0,02850,01
0102880,"Russell County School District, Alabama",41858.0,02880,01
0102910,"Russellville City School District, Alabama",35269.0,02910,01
0102940,"Scottsboro City School District, Alabama",42079.0,02940,01
0102970,"Selma City School District, Alabama",44330.0,02970,01
0103000,"Sheffield City School District, Alabama",37097.0,03000,01
0103030,"Shelby County School District, Alabama",73957.0,03030,01
0103150,"Talladega City School District, Alabama",32947.0,03150,01
0103062,"St. Clair County School District, Alabama",59071.0,03062,01
0103090,"Sumter County School District, Alabama",57500.0,03090,01
0103120,"Sylacauga City School District, Alabama",42563.0,03120,01
0103180,"Talladega County School District, Alabama",45789.0,03180,01
0103210,"Tallapoosa County School District, Alabama",54313.0,03210,01
0103330,"Troy City School District, Alabama",47603.0,03330,01
0103240,"Tallassee City School District, Alabama",58349.0,03240,01
0103270,"Tarrant City School District, Alabama",27331.0,03270,01
0103300,"Thomasville City School District, Alabama",63454.0,03300,01
0103360,"Tuscaloosa City School District, Alabama",54002.0,03360,01
0103390,"Tuscaloosa County School District, Alabama",63054.0,03390,01
0103420,"Tuscumbia City School District, Alabama",52128.0,03420,01
0100194,"Pelham City School District, Alabama",76753.0,00194,01
0100720,"Clarke County School District, Alabama",42297.0,00720,01
0100007,"Hoover City School District, Alabama",91700.0,00007,01
0100008,"Madison City School District, Alabama",100662.0,00008,01
0100011,"Leeds City School District, Alabama",65702.0,00011,01
0100600,"Chambers County School District, Alabama",45328.0,00600,01
0100630,"Cherokee County School District, Alabama",40672.0,00630,01
0100540,"Calhoun County School District, Alabama",53032.0,00540,01
0101260,"Elba City School District, Alabama",42660.0,01260,01
0101170,"Decatur City School District, Alabama",50969.0,01170,01
0101200,"Demopolis City School District, Alabama",60693.0,01200,01
0101230,"Dothan City School District, Alabama",54897.0,01230,01
0103430,"Vestavia Hills City School District, Alabama",99630.0,03430,01
0103450,"Walker County School District, Alabama",40682.0,03450,01
0103480,"Washington County School District, Alabama",44209.0,03480,01
0103510,"Wilcox County School District, Alabama",43170.0,03510,01
0103540,"Winfield City School District, Alabama",43165.0,03540,01
0103580,"Winston County School District, Alabama",38108.0,03580,01
0199999,"Remainder of Alabama, Alabama",105943.0,99999,01
0100001,"Fort Rucker School District, Alabama",65905.0,00001,01
0100003,"Maxwell AFB School District, Alabama",101488.0,00003,01
0100005,"Albertville City School District, Alabama",40857.0,00005,01
0100006,"Marshall County School District, Alabama",42985.0,00006,01
0101380,"Etowah County School District, Alabama",51259.0,01380,01
0101290,"Elmore County School District, Alabama",60603.0,01290,01
0101320,"Enterprise City School District, Alabama",62139.0,01320,01
0101350,"Escambia County School District, Alabama",40885.0,01350,01
0101410,"Eufaula City School District, Alabama",49292.0,01410,01
0101560,"Fort Payne City School District, Alabama",41394.0,01560,01
0101440,"Fairfield City School District, Alabama",22313.0,01440,01
0101470,"Fayette County School District, Alabama",38614.0,01470,01
0101530,"Florence City School District, Alabama",40579.0,01530,01
0101590,"Franklin County School District, Alabama",39058.0,01590,01
0101620,"Gadsden City School District, Alabama",33377.0,01620,01
0101640,"Geneva City School District, Alabama",37464.0,01640,01
0101710,"Hale County School District, Alabama",53790.0,01710,01
0101660,"Geneva County School District, Alabama",42919.0,01660,01
0101680,"Greene County School District, Alabama",51932.0,01680,01
0101690,"Guntersville City School District, Alabama",46233.0,01690,01
0101720,"Haleyville City School District, Alabama",31926.0,01720,01
0101730,"Hartselle City School District, Alabama",58514.0,01730,01
0101740,"Henry County School District, Alabama",50631.0,01740,01
0101760,"Homewood City School District, Alabama",90192.0,01760,01
0101920,"Jefferson County School District, Alabama",56807.0,01920,01
0101770,"Houston County School District, Alabama",45362.0,01770,01
0101800,"Huntsville City School District, Alabama",66491.0,01800,01
0101830,"Jackson County School District, Alabama",38735.0,01830,01
0101860,"Jacksonville City School District, Alabama",47516.0,01860,01
0101890,"Jasper City School District, Alabama",43898.0,01890,01
0101950,"Lamar County School District, Alabama",39368.0,01950,01
0101980,"Lanett City School District, Alabama",47390.0,01980,01
0102010,"Lauderdale County School District, Alabama",51790.0,02010,01
0102040,"Lawrence County School District, Alabama",43930.0,02040,01
0102070,"Lee County School District, Alabama",51403.0,02070,01
0102100,"Limestone County School District, Alabama",53542.0,02100,01
0102130,"Linden City School District, Alabama",54917.0,02130,01
0102160,"Lowndes County School District, Alabama",55375.0,02160,01
