geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,school district (unified),state
0100660,"Chilton County School District, Alabama",1611.0,325.0,173.0,92.0,89.0,167.0,55.0,13.0,127.0,14.0,29.0,321.0,82.0,110.0,0.0,14.0,0.0,00660,01
0100690,"Choctaw County School District, Alabama",2324.0,421.0,362.0,146.0,335.0,156.0,163.0,155.0,114.0,19.0,118.0,133.0,89.0,57.0,18.0,18.0,20.0,00690,01
0100750,"Clay County School District, Alabama",731.0,98.0,96.0,46.0,36.0,72.0,84.0,24.0,17.0,57.0,45.0,47.0,46.0,47.0,0.0,16.0,0.0,00750,01
0100780,"Cleburne County School District, Alabama",267.0,131.0,28.0,24.0,0.0,8.0,21.0,0.0,9.0,27.0,4.0,0.0,0.0,0.0,0.0,15.0,0.0,00780,01
0100810,"Coffee County School District, Alabama",481.0,59.0,39.0,40.0,36.0,58.0,32.0,40.0,19.0,23.0,45.0,23.0,44.0,6.0,13.0,2.0,2.0,00810,01
0100840,"Colbert County School District, Alabama",1128.0,214.0,105.0,57.0,91.0,68.0,58.0,67.0,50.0,46.0,111.0,62.0,126.0,40.0,7.0,26.0,0.0,00840,01
0100870,"Conecuh County School District, Alabama",2017.0,273.0,312.0,242.0,179.0,82.0,78.0,144.0,59.0,168.0,209.0,153.0,40.0,73.0,3.0,2.0,0.0,00870,01
0102250,"Marengo County School District, Alabama",1887.0,468.0,243.0,114.0,86.0,168.0,195.0,97.0,91.0,53.0,55.0,96.0,95.0,27.0,52.0,18.0,29.0,02250,01
0102310,"Marion County School District, Alabama",302.0,47.0,7.0,36.0,0.0,14.0,33.0,56.0,8.0,16.0,0.0,0.0,8.0,70.0,7.0,0.0,0.0,02310,01
0102350,"Midfield City School District, Alabama",1469.0,138.0,158.0,130.0,57.0,76.0,87.0,46.0,145.0,31.0,168.0,164.0,141.0,34.0,35.0,35.0,24.0,02350,01
0102370,"Mobile County School District, Alabama",50601.0,8159.0,5123.0,4961.0,4187.0,3084.0,2943.0,2650.0,2510.0,1960.0,3314.0,3786.0,3577.0,2138.0,1124.0,684.0,401.0,02370,01
0102400,"Monroe County School District, Alabama",3379.0,1135.0,554.0,504.0,114.0,121.0,218.0,67.0,149.0,110.0,127.0,86.0,88.0,38.0,9.0,3.0,56.0,02400,01
0102430,"Montgomery County School District, Alabama",48725.0,6643.0,4321.0,4193.0,2796.0,3295.0,3147.0,2667.0,2612.0,1839.0,3701.0,4116.0,4556.0,2243.0,1281.0,848.0,467.0,02430,01
0102480,"Morgan County School District, Alabama",501.0,26.0,8.0,0.0,10.0,58.0,57.0,80.0,6.0,32.0,95.0,4.0,34.0,18.0,27.0,9.0,37.0,02480,01
0102490,"Mountain Brook City School District, Alabama",75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,13.0,0.0,0.0,0.0,02490,01
0102610,"Opp City School District, Alabama",427.0,152.0,44.0,31.0,34.0,54.0,25.0,6.0,5.0,9.0,5.0,8.0,19.0,11.0,24.0,0.0,0.0,02610,01
0100189,"Satsuma City School District, Alabama",158.0,0.0,36.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,19.0,0.0,57.0,13.0,17.0,0.0,0.0,00189,01
0100188,"Chickasaw City School District, Alabama",746.0,155.0,122.0,121.0,35.0,27.0,48.0,44.0,49.0,14.0,48.0,22.0,49.0,12.0,0.0,0.0,0.0,00188,01
0100190,"Alabaster City School District, Alabama",1641.0,81.0,15.0,62.0,92.0,40.0,86.0,68.0,72.0,53.0,136.0,145.0,216.0,148.0,186.0,214.0,27.0,00190,01
0100185,"Saraland City School District, Alabama",571.0,33.0,25.0,51.0,102.0,47.0,64.0,0.0,40.0,38.0,43.0,58.0,22.0,19.0,19.0,10.0,0.0,00185,01
0102520,"Muscle Shoals City School District, Alabama",862.0,98.0,116.0,0.0,92.0,48.0,43.0,16.0,40.0,66.0,60.0,164.0,46.0,30.0,43.0,0.0,0.0,02520,01
0102550,"Oneonta City School District, Alabama",178.0,12.0,0.0,0.0,0.0,23.0,58.0,0.0,11.0,30.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,02550,01
0102580,"Opelika City School District, Alabama",5028.0,988.0,379.0,331.0,492.0,610.0,253.0,280.0,98.0,134.0,302.0,312.0,533.0,175.0,88.0,36.0,17.0,02580,01
0102635,"Oxford City School District, Alabama",1586.0,210.0,81.0,189.0,104.0,88.0,104.0,30.0,43.0,43.0,154.0,104.0,121.0,191.0,103.0,5.0,16.0,02635,01
0102640,"Ozark City School District, Alabama",1865.0,461.0,186.0,131.0,165.0,150.0,82.0,112.0,24.0,35.0,156.0,200.0,28.0,52.0,56.0,27.0,0.0,02640,01
0102650,"Pell City City School District, Alabama",1134.0,83.0,53.0,207.0,61.0,63.0,95.0,200.0,11.0,53.0,98.0,30.0,0.0,125.0,26.0,0.0,29.0,02650,01
0102670,"Perry County School District, Alabama",2022.0,554.0,275.0,320.0,60.0,138.0,176.0,94.0,42.0,59.0,67.0,69.0,60.0,75.0,8.0,21.0,4.0,02670,01
0102700,"Phenix City City School District, Alabama",6616.0,1107.0,735.0,508.0,345.0,497.0,634.0,355.0,326.0,203.0,411.0,421.0,406.0,166.0,199.0,246.0,57.0,02700,01
0102730,"Pickens County School District, Alabama",3040.0,661.0,544.0,247.0,232.0,190.0,156.0,267.0,157.0,90.0,189.0,191.0,44.0,34.0,12.0,0.0,26.0,02730,01
0102760,"Piedmont City School District, Alabama",262.0,73.0,17.0,11.0,15.0,0.0,13.0,0.0,21.0,21.0,22.0,0.0,69.0,0.0,0.0,0.0,0.0,02760,01
0102790,"Pike County School District, Alabama",1599.0,298.0,165.0,237.0,130.0,75.0,148.0,82.0,83.0,47.0,58.0,96.0,107.0,20.0,4.0,41.0,8.0,02790,01
0102820,"Randolph County School District, Alabama",690.0,119.0,82.0,39.0,56.0,135.0,41.0,36.0,36.0,11.0,28.0,33.0,47.0,7.0,20.0,0.0,0.0,02820,01
0102850,"Roanoke City School District, Alabama",936.0,81.0,53.0,33.0,73.0,55.0,144.0,70.0,0.0,35.0,135.0,133.0,90.0,0.0,0.0,34.0,0.0,02850,01
0102880,"Russell County School District, Alabama",3513.0,265.0,275.0,282.0,335.0,128.0,170.0,60.0,246.0,190.0,406.0,223.0,328.0,168.0,355.0,63.0,19.0,02880,01
0102910,"Russellville City School District, Alabama",459.0,8.0,36.0,0.0,75.0,11.0,0.0,62.0,71.0,52.0,47.0,33.0,0.0,64.0,0.0,0.0,0.0,02910,01
0102940,"Scottsboro City School District, Alabama",270.0,14.0,37.0,11.0,35.0,70.0,0.0,7.0,0.0,0.0,33.0,9.0,29.0,25.0,0.0,0.0,0.0,02940,01
0102970,"Selma City School District, Alabama",6113.0,1670.0,537.0,685.0,616.0,368.0,386.0,241.0,238.0,205.0,376.0,214.0,288.0,119.0,79.0,75.0,16.0,02970,01
0103000,"Sheffield City School District, Alabama",962.0,254.0,129.0,60.0,80.0,63.0,82.0,35.0,45.0,41.0,70.0,21.0,56.0,7.0,5.0,5.0,9.0,03000,01
0103030,"Shelby County School District, Alabama",5132.0,291.0,251.0,339.0,309.0,242.0,211.0,298.0,234.0,179.0,349.0,543.0,760.0,439.0,359.0,189.0,139.0,03030,01
