geoid,name,universe,school district (unified),state
0100660,"Chilton County School District, Alabama",43805.0,00660,01
0100690,"Choctaw County School District, Alabama",13188.0,00690,01
0100750,"Clay County School District, Alabama",13407.0,00750,01
0100780,"Cleburne County School District, Alabama",14575.0,00780,01
0100810,"Coffee County School District, Alabama",18858.0,00810,01
0100840,"Colbert County School District, Alabama",23275.0,00840,01
0100870,"Conecuh County School District, Alabama",12649.0,00870,01
0102250,"Marengo County School District, Alabama",8704.0,02250,01
0102310,"Marion County School District, Alabama",24851.0,02310,01
0102350,"Midfield City School District, Alabama",5174.0,02350,01
0102370,"Mobile County School District, Alabama",388268.0,02370,01
0102400,"Monroe County School District, Alabama",21745.0,02400,01
0102430,"Montgomery County School District, Alabama",216346.0,02430,01
0102480,"Morgan County School District, Alabama",50055.0,02480,01
0102490,"Mountain Brook City School District, Alabama",20438.0,02490,01
0102610,"Opp City School District, Alabama",6580.0,02610,01
0100189,"Satsuma City School District, Alabama",6145.0,00189,01
0100188,"Chickasaw City School District, Alabama",5889.0,00188,01
0100190,"Alabaster City School District, Alabama",32567.0,00190,01
0100185,"Saraland City School District, Alabama",14026.0,00185,01
0102520,"Muscle Shoals City School District, Alabama",13701.0,02520,01
0102550,"Oneonta City School District, Alabama",6585.0,02550,01
0102580,"Opelika City School District, Alabama",29372.0,02580,01
0102635,"Oxford City School District, Alabama",23250.0,02635,01
0102640,"Ozark City School District, Alabama",16230.0,02640,01
0102650,"Pell City City School District, Alabama",29169.0,02650,01
0102670,"Perry County School District, Alabama",9680.0,02670,01
0102700,"Phenix City City School District, Alabama",36870.0,02700,01
0102730,"Pickens County School District, Alabama",20170.0,02730,01
0102760,"Piedmont City School District, Alabama",6258.0,02760,01
0102790,"Pike County School District, Alabama",14277.0,02790,01
0102820,"Randolph County School District, Alabama",16605.0,02820,01
0102850,"Roanoke City School District, Alabama",5925.0,02850,01
0102880,"Russell County School District, Alabama",26455.0,02880,01
0102910,"Russellville City School District, Alabama",9715.0,02910,01
0102940,"Scottsboro City School District, Alabama",14584.0,02940,01
0102970,"Selma City School District, Alabama",19176.0,02970,01
0103000,"Sheffield City School District, Alabama",9007.0,03000,01
0103030,"Shelby County School District, Alabama",126530.0,03030,01
0103150,"Talladega City School District, Alabama",15747.0,03150,01
0103062,"St. Clair County School District, Alabama",55258.0,03062,01
0103090,"Sumter County School District, Alabama",13084.0,03090,01
0103120,"Sylacauga City School District, Alabama",12492.0,03120,01
0103180,"Talladega County School District, Alabama",48538.0,03180,01
0103210,"Tallapoosa County School District, Alabama",21836.0,03210,01
0103330,"Troy City School District, Alabama",19010.0,03330,01
0103240,"Tallassee City School District, Alabama",8843.0,03240,01
0103270,"Tarrant City School District, Alabama",6238.0,03270,01
0103300,"Thomasville City School District, Alabama",5460.0,03300,01
0103360,"Tuscaloosa City School District, Alabama",96243.0,03360,01
0103390,"Tuscaloosa County School District, Alabama",108181.0,03390,01
0103420,"Tuscumbia City School District, Alabama",8452.0,03420,01
0100194,"Pelham City School District, Alabama",22941.0,00194,01
0100720,"Clarke County School District, Alabama",19165.0,00720,01
0100007,"Hoover City School District, Alabama",83015.0,00007,01
0100008,"Madison City School District, Alabama",47079.0,00008,01
0100011,"Leeds City School District, Alabama",11847.0,00011,01
0100600,"Chambers County School District, Alabama",27554.0,00600,01
0100630,"Cherokee County School District, Alabama",25855.0,00630,01
0100540,"Calhoun County School District, Alabama",55666.0,00540,01
0101260,"Elba City School District, Alabama",4921.0,01260,01
0101170,"Decatur City School District, Alabama",54844.0,01170,01
0101200,"Demopolis City School District, Alabama",6999.0,01200,01
0101230,"Dothan City School District, Alabama",67784.0,01230,01
0103430,"Vestavia Hills City School District, Alabama",34003.0,03430,01
0103450,"Walker County School District, Alabama",51073.0,03450,01
0103480,"Washington County School District, Alabama",16746.0,03480,01
0103510,"Wilcox County School District, Alabama",10919.0,03510,01
0103540,"Winfield City School District, Alabama",6096.0,03540,01
0103580,"Winston County School District, Alabama",15909.0,03580,01
0199999,"Remainder of Alabama, Alabama",8417.0,99999,01
0100001,"Fort Rucker School District, Alabama",5149.0,00001,01
0100003,"Maxwell AFB School District, Alabama",2357.0,00003,01
0100005,"Albertville City School District, Alabama",21342.0,00005,01
0100006,"Marshall County School District, Alabama",48347.0,00006,01
0101380,"Etowah County School District, Alabama",60352.0,01380,01
0101290,"Elmore County School District, Alabama",74046.0,01290,01
0101320,"Enterprise City School District, Alabama",27776.0,01320,01
0101350,"Escambia County School District, Alabama",32342.0,01350,01
0101410,"Eufaula City School District, Alabama",12467.0,01410,01
0101560,"Fort Payne City School District, Alabama",14017.0,01560,01
0101440,"Fairfield City School District, Alabama",10850.0,01440,01
0101470,"Fayette County School District, Alabama",15678.0,01470,01
0101530,"Florence City School District, Alabama",39824.0,01530,01
0101590,"Franklin County School District, Alabama",21792.0,01590,01
0101620,"Gadsden City School District, Alabama",35832.0,01620,01
0101640,"Geneva City School District, Alabama",6830.0,01640,01
0101710,"Hale County School District, Alabama",14995.0,01710,01
0101660,"Geneva County School District, Alabama",19742.0,01660,01
0101680,"Greene County School District, Alabama",8533.0,01680,01
0101690,"Guntersville City School District, Alabama",8333.0,01690,01
0101720,"Haleyville City School District, Alabama",8149.0,01720,01
0101730,"Hartselle City School District, Alabama",14258.0,01730,01
0101740,"Henry County School District, Alabama",17110.0,01740,01
0101760,"Homewood City School District, Alabama",25678.0,01760,01
0101920,"Jefferson County School District, Alabama",231303.0,01920,01
0101770,"Houston County School District, Alabama",37328.0,01770,01
0101800,"Huntsville City School District, Alabama",190501.0,01800,01
0101830,"Jackson County School District, Alabama",37742.0,01830,01
0101860,"Jacksonville City School District, Alabama",12731.0,01860,01
0101890,"Jasper City School District, Alabama",13854.0,01890,01
0101950,"Lamar County School District, Alabama",14021.0,01950,01
0101980,"Lanett City School District, Alabama",6341.0,01980,01
0102010,"Lauderdale County School District, Alabama",52766.0,02010,01
