geoid,name,universe,male_total,male_no_schooling,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate,male_less_than_1_year_college,male_1_or_more_years_college,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_total,female_no_schooling,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate,female_less_than_1_year_college,female_1_or_more_years_college,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,school district (elementary),state
0409360,"Williamson Valley Elementary School District, Arizona",572.0,297.0,4.0,6.0,8.0,0.0,10.0,0.0,6.0,7.0,78.0,20.0,67.0,15.0,47.0,12.0,15.0,2.0,275.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,6.0,55.0,44.0,60.0,18.0,34.0,28.0,11.0,7.0,09360,04
0409390,"Wilson Elementary District, Arizona",2101.0,1148.0,13.0,26.0,172.0,90.0,79.0,40.0,54.0,102.0,311.0,61.0,116.0,9.0,54.0,21.0,0.0,0.0,953.0,39.0,46.0,94.0,124.0,96.0,83.0,22.0,60.0,190.0,17.0,105.0,47.0,30.0,0.0,0.0,0.0,09390,04
0409510,"Yarnell Elementary District, Arizona",1120.0,525.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,205.0,33.0,96.0,75.0,56.0,40.0,0.0,0.0,595.0,0.0,0.0,0.0,9.0,0.0,0.0,26.0,37.0,170.0,46.0,152.0,56.0,65.0,31.0,0.0,3.0,09510,04
0409540,"Young Elementary School District, Arizona",540.0,320.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,116.0,24.0,90.0,22.0,52.0,3.0,10.0,0.0,220.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,38.0,35.0,33.0,36.0,49.0,20.0,0.0,0.0,09540,04
0409570,"Yucca Elementary District, Arizona",461.0,238.0,0.0,0.0,14.0,8.0,0.0,4.0,0.0,0.0,104.0,12.0,46.0,4.0,46.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,85.0,15.0,45.0,38.0,12.0,0.0,0.0,0.0,09570,04
0409600,"Yuma Elementary District, Arizona",68161.0,33812.0,525.0,407.0,708.0,936.0,933.0,852.0,1208.0,1328.0,10005.0,2811.0,6589.0,2202.0,3596.0,1276.0,303.0,133.0,34349.0,834.0,470.0,999.0,748.0,1328.0,994.0,860.0,970.0,10031.0,2976.0,5717.0,2871.0,3569.0,1662.0,243.0,77.0,09600,04
0499999,"Remainder of Arizona, Arizona",3050686.0,1480088.0,16658.0,7930.0,15926.0,20968.0,19582.0,23190.0,29226.0,26782.0,346705.0,108978.0,267689.0,123766.0,290410.0,120011.0,36870.0,25397.0,1570598.0,18285.0,6978.0,16968.0,20201.0,17249.0,20503.0,26809.0,26634.0,367284.0,130250.0,289235.0,149384.0,303885.0,137541.0,23258.0,16134.0,99999,04
0407920,"Sonoita Elementary District, Arizona",1460.0,675.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,6.0,138.0,34.0,113.0,40.0,141.0,104.0,31.0,43.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,119.0,45.0,159.0,43.0,227.0,102.0,25.0,30.0,07920,04
0408130,"Stanfield Elementary District, Arizona",2870.0,1622.0,120.0,23.0,46.0,74.0,58.0,0.0,123.0,97.0,461.0,105.0,351.0,53.0,47.0,64.0,0.0,0.0,1248.0,47.0,23.0,64.0,74.0,44.0,112.0,0.0,0.0,378.0,89.0,225.0,111.0,63.0,18.0,0.0,0.0,08130,04
0408310,"Tempe School District, Arizona",89602.0,48058.0,331.0,238.0,553.0,986.0,714.0,755.0,1029.0,935.0,9539.0,2587.0,9410.0,3192.0,11069.0,4871.0,757.0,1092.0,41544.0,416.0,187.0,552.0,656.0,803.0,575.0,785.0,946.0,8085.0,2637.0,7149.0,3654.0,9386.0,4414.0,614.0,685.0,08310,04
0400022,"Vernon Elementary District, Arizona",1324.0,684.0,6.0,6.0,0.0,0.0,0.0,17.0,12.0,13.0,232.0,8.0,214.0,31.0,125.0,20.0,0.0,0.0,640.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,200.0,28.0,240.0,64.0,58.0,16.0,0.0,6.0,00022,04
0400480,"Aguila Elementary District, Arizona",898.0,599.0,38.0,88.0,200.0,45.0,52.0,9.0,0.0,0.0,71.0,13.0,61.0,4.0,18.0,0.0,0.0,0.0,299.0,40.0,18.0,22.0,0.0,14.0,33.0,8.0,8.0,92.0,0.0,30.0,15.0,10.0,9.0,0.0,0.0,00480,04
0400004,"Clarkdale-Jerome Elementary District, Arizona",3486.0,1491.0,10.0,0.0,60.0,38.0,4.0,2.0,6.0,10.0,242.0,98.0,577.0,97.0,94.0,153.0,99.0,1.0,1995.0,3.0,0.0,0.0,12.0,16.0,4.0,6.0,5.0,758.0,147.0,381.0,270.0,286.0,99.0,2.0,6.0,00004,04
0400005,"Salome Consolidated Elementary District, Arizona",2334.0,1167.0,0.0,88.0,51.0,42.0,10.0,11.0,27.0,12.0,362.0,79.0,233.0,68.0,91.0,76.0,0.0,17.0,1167.0,0.0,18.0,72.0,91.0,50.0,16.0,9.0,7.0,432.0,42.0,192.0,34.0,129.0,66.0,9.0,0.0,00005,04
0400840,"Arlington Elementary District, Arizona",921.0,551.0,0.0,12.0,35.0,27.0,18.0,17.0,26.0,11.0,135.0,83.0,132.0,27.0,22.0,0.0,0.0,6.0,370.0,5.0,11.0,21.0,0.0,4.0,7.0,24.0,0.0,106.0,38.0,59.0,58.0,22.0,15.0,0.0,0.0,00840,04
0400600,"Alhambra Elementary District, Arizona",48960.0,24859.0,842.0,941.0,1562.0,2160.0,1126.0,1058.0,1049.0,1030.0,7323.0,1703.0,2809.0,1440.0,1341.0,410.0,40.0,25.0,24101.0,953.0,460.0,1678.0,2132.0,1236.0,950.0,1028.0,750.0,6688.0,2008.0,2645.0,1775.0,1291.0,381.0,122.0,4.0,00600,04
0400630,"Alpine Elementary District, Arizona",278.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,8.0,37.0,8.0,40.0,14.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,2.0,61.0,5.0,32.0,15.0,0.0,3.0,00630,04
0400750,"Apache Elementary District, Arizona",118.0,74.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,18.0,7.0,13.0,3.0,14.0,6.0,4.0,0.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,7.0,7.0,16.0,3.0,3.0,4.0,0.0,0.0,00750,04
0400870,"Ash Creek Elementary District, Arizona",539.0,264.0,2.0,0.0,0.0,8.0,9.0,0.0,7.0,2.0,127.0,5.0,48.0,23.0,17.0,2.0,8.0,6.0,275.0,4.0,0.0,0.0,5.0,9.0,2.0,12.0,2.0,108.0,23.0,38.0,12.0,44.0,12.0,0.0,4.0,00870,04
0400960,"Avondale Elementary District, Arizona",29344.0,14383.0,310.0,67.0,316.0,301.0,273.0,460.0,549.0,332.0,3950.0,1139.0,2985.0,1294.0,1494.0,645.0,164.0,104.0,14961.0,398.0,144.0,189.0,465.0,219.0,332.0,307.0,151.0,4203.0,1064.0,3223.0,1528.0,1776.0,822.0,40.0,100.0,00960,04
0401050,"Balsz Elementary District, Arizona",19757.0,10000.0,193.0,173.0,372.0,201.0,318.0,207.0,264.0,247.0,2312.0,561.0,2084.0,649.0,1906.0,360.0,73.0,80.0,9757.0,212.0,119.0,640.0,206.0,317.0,205.0,154.0,274.0,2088.0,463.0,1604.0,770.0,1756.0,696.0,142.0,111.0,01050,04
0401080,"Beaver Creek Elementary District, Arizona",4155.0,2115.0,22.0,0.0,37.0,10.0,0.0,57.0,61.0,2.0,642.0,299.0,486.0,173.0,268.0,30.0,13.0,15.0,2040.0,0.0,18.0,45.0,19.0,0.0,40.0,54.0,75.0,473.0,268.0,573.0,46.0,98.0,265.0,0.0,66.0,01080,04
0401230,"Blue Elementary District, Arizona",45.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,16.0,0.0,1.0,0.0,0.0,0.0,01230,04
0401260,"Bonita Elementary District, Arizona",638.0,558.0,1.0,0.0,28.0,0.0,21.0,45.0,23.0,12.0,197.0,35.0,90.0,33.0,57.0,14.0,1.0,1.0,80.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,28.0,5.0,10.0,11.0,2.0,3.0,01260,04
0401290,"Bouse Elementary District, Arizona",905.0,481.0,0.0,0.0,0.0,43.0,0.0,15.0,27.0,18.0,217.0,19.0,77.0,25.0,0.0,31.0,9.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,0.0,175.0,43.0,86.0,19.0,32.0,32.0,0.0,3.0,01290,04
0401380,"Buckeye Elementary District, Arizona",26219.0,15213.0,336.0,104.0,236.0,494.0,342.0,657.0,678.0,294.0,4277.0,1671.0,3592.0,1074.0,1254.0,174.0,10.0,20.0,11006.0,164.0,108.0,158.0,321.0,227.0,282.0,272.0,296.0,3245.0,989.0,2357.0,1009.0,1095.0,299.0,105.0,79.0,01380,04
0401500,"Bullhead City School District, Arizona",30596.0,14340.0,390.0,63.0,204.0,217.0,235.0,729.0,441.0,631.0,4882.0,1147.0,2754.0,892.0,1271.0,254.0,154.0,76.0,16256.0,360.0,158.0,207.0,265.0,215.0,479.0,800.0,637.0,6117.0,1440.0,2613.0,1328.0,1044.0,464.0,95.0,34.0,01500,04
0401650,"Canon Elementary District, Arizona",2388.0,1246.0,12.0,0.0,43.0,0.0,0.0,44.0,25.0,13.0,474.0,164.0,266.0,45.0,104.0,56.0,0.0,0.0,1142.0,2.0,0.0,0.0,40.0,31.0,0.0,37.0,0.0,384.0,132.0,265.0,154.0,64.0,12.0,0.0,21.0,01650,04
0401680,"Cartwright Elementary District, Arizona",66236.0,31666.0,1672.0,940.0,3033.0,2194.0,1752.0,1310.0,1497.0,1937.0,9934.0,1390.0,3544.0,982.0,990.0,391.0,72.0,28.0,34570.0,1594.0,683.0,3615.0,2561.0,2020.0,1420.0,1542.0,1578.0,9970.0,2118.0,4329.0,1248.0,1428.0,417.0,40.0,7.0,01680,04
0401710,"Casa Grande Elementary District, Arizona",42357.0,20439.0,306.0,258.0,419.0,474.0,319.0,886.0,483.0,648.0,6746.0,1532.0,3478.0,1749.0,1898.0,886.0,219.0,138.0,21918.0,414.0,266.0,233.0,308.0,576.0,621.0,616.0,526.0,6761.0,2207.0,3449.0,2545.0,2295.0,988.0,81.0,32.0,01710,04
0402190,"Concho Elementary District, Arizona",2043.0,1103.0,0.0,10.0,0.0,66.0,0.0,39.0,35.0,0.0,404.0,20.0,329.0,61.0,100.0,39.0,0.0,0.0,940.0,0.0,0.0,0.0,8.0,0.0,46.0,47.0,0.0,281.0,9.0,356.0,112.0,74.0,7.0,0.0,0.0,02190,04
0402220,"Congress Elementary District, Arizona",1489.0,752.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,42.0,222.0,49.0,290.0,21.0,71.0,32.0,13.0,6.0,737.0,0.0,0.0,0.0,18.0,0.0,10.0,0.0,0.0,194.0,68.0,182.0,68.0,101.0,68.0,24.0,4.0,02220,04
0401920,"Chevelon Butte School District, Arizona",600.0,305.0,0.0,0.0,0.0,17.0,5.0,1.0,7.0,3.0,75.0,8.0,85.0,19.0,49.0,29.0,0.0,7.0,295.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,96.0,15.0,78.0,26.0,60.0,8.0,0.0,0.0,01920,04
0402130,"Cochise Elementary District, Arizona",232.0,115.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,25.0,24.0,8.0,19.0,1.0,5.0,0.0,117.0,0.0,0.0,0.0,0.0,1.0,13.0,5.0,7.0,24.0,13.0,19.0,11.0,16.0,6.0,2.0,0.0,02130,04
0402430,"Creighton Elementary District, Arizona",45732.0,23426.0,599.0,519.0,1229.0,1011.0,1247.0,844.0,595.0,758.0,5479.0,1114.0,3585.0,1094.0,3412.0,1277.0,449.0,214.0,22306.0,428.0,488.0,1647.0,876.0,871.0,595.0,634.0,598.0,4338.0,1322.0,3771.0,1459.0,3653.0,1159.0,316.0,151.0,02430,04
0402250,"Continental Elementary District, Arizona",25997.0,11723.0,17.0,0.0,0.0,44.0,63.0,62.0,104.0,156.0,1798.0,816.0,1953.0,854.0,3419.0,1389.0,578.0,470.0,14274.0,45.0,3.0,51.0,23.0,63.0,94.0,132.0,139.0,3262.0,1245.0,2592.0,1117.0,3217.0,1919.0,225.0,147.0,02250,04
0402370,"Cottonwood-Oak Creek Elementary District, Arizona",22789.0,10261.0,129.0,57.0,92.0,106.0,150.0,139.0,107.0,332.0,3473.0,1066.0,1906.0,829.0,1104.0,505.0,138.0,128.0,12528.0,103.0,67.0,43.0,325.0,218.0,297.0,201.0,379.0,3543.0,1291.0,2184.0,1350.0,1403.0,831.0,213.0,80.0,02370,04
0402400,"Crane Elementary District, Arizona",26096.0,12990.0,292.0,391.0,553.0,472.0,357.0,332.0,244.0,520.0,3067.0,917.0,2481.0,1117.0,1213.0,602.0,265.0,167.0,13106.0,450.0,258.0,556.0,420.0,452.0,310.0,355.0,324.0,3000.0,1153.0,2153.0,1264.0,1378.0,892.0,131.0,10.0,02400,04
0402460,"Crown King Elementary District, Arizona",74.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,8.0,0.0,10.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,9.0,1.0,5.0,0.0,0.0,0.0,02460,04
0402490,"Double Adobe Elementary District, Arizona",337.0,166.0,1.0,0.0,3.0,13.0,0.0,6.0,3.0,1.0,38.0,6.0,29.0,33.0,23.0,7.0,2.0,1.0,171.0,2.0,0.0,0.0,2.0,0.0,13.0,2.0,0.0,43.0,10.0,30.0,28.0,28.0,10.0,2.0,1.0,02490,04
0402710,"Eagle Elementary District, Arizona",53.0,38.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,14.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,02710,04
0402760,"Elfrida Elementary District, Arizona",608.0,334.0,0.0,17.0,0.0,34.0,0.0,5.0,17.0,4.0,104.0,30.0,53.0,24.0,37.0,0.0,7.0,2.0,274.0,8.0,12.0,5.0,0.0,0.0,2.0,9.0,0.0,78.0,23.0,62.0,58.0,7.0,10.0,0.0,0.0,02760,04
0402790,"Eloy Elementary District, Arizona",3569.0,1657.0,124.0,111.0,111.0,155.0,80.0,80.0,64.0,104.0,459.0,56.0,219.0,34.0,45.0,15.0,0.0,0.0,1912.0,56.0,37.0,149.0,93.0,10.0,93.0,96.0,25.0,625.0,80.0,332.0,167.0,108.0,32.0,9.0,0.0,02790,04
0402820,"Empire Elementary District, Arizona",503.0,195.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,26.0,9.0,30.0,62.0,28.0,18.0,9.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,39.0,60.0,84.0,17.0,70.0,17.0,6.0,8.0,02820,04
0403060,"Fowler Elementary District, Arizona",19276.0,8975.0,175.0,192.0,483.0,413.0,481.0,326.0,535.0,448.0,2895.0,411.0,1241.0,541.0,659.0,106.0,39.0,30.0,10301.0,262.0,296.0,628.0,484.0,411.0,383.0,306.0,378.0,3302.0,589.0,1661.0,627.0,745.0,134.0,49.0,46.0,03060,04
0403240,"Gadsden Elementary District, Arizona",16099.0,7959.0,329.0,409.0,1198.0,506.0,885.0,375.0,286.0,535.0,1074.0,131.0,1453.0,134.0,517.0,100.0,27.0,0.0,8140.0,228.0,676.0,1223.0,503.0,806.0,223.0,147.0,681.0,1224.0,264.0,1214.0,367.0,445.0,106.0,33.0,0.0,03240,04
0403420,"Glendale Elementary District, Arizona",63026.0,29980.0,944.0,914.0,1275.0,1066.0,908.0,852.0,1259.0,802.0,9856.0,2490.0,4132.0,2319.0,2124.0,670.0,253.0,116.0,33046.0,915.0,927.0,1080.0,1209.0,1317.0,868.0,1098.0,742.0,10400.0,2756.0,4988.0,2753.0,2928.0,860.0,89.0,116.0,03420,04
0403660,"Hackberry School District, Arizona",1035.0,522.0,4.0,0.0,0.0,11.0,15.0,0.0,7.0,8.0,222.0,48.0,111.0,36.0,43.0,9.0,8.0,0.0,513.0,0.0,0.0,3.0,0.0,0.0,28.0,11.0,22.0,177.0,52.0,116.0,50.0,46.0,8.0,0.0,0.0,03660,04
0403900,"Hyder Elementary District, Arizona",389.0,212.0,17.0,0.0,35.0,7.0,8.0,4.0,0.0,0.0,83.0,4.0,44.0,0.0,3.0,7.0,0.0,0.0,177.0,11.0,15.0,7.0,0.0,4.0,10.0,6.0,0.0,50.0,18.0,20.0,11.0,15.0,10.0,0.0,0.0,03900,04
0403960,"Isaac Elementary District, Arizona",23854.0,11569.0,660.0,759.0,1778.0,1084.0,617.0,267.0,528.0,462.0,3115.0,430.0,1211.0,286.0,242.0,100.0,13.0,17.0,12285.0,779.0,815.0,1365.0,1331.0,511.0,433.0,371.0,535.0,3437.0,674.0,1057.0,457.0,409.0,73.0,32.0,6.0,03960,04
0404170,"Kirkland Elementary District, Arizona",915.0,483.0,14.0,4.0,8.0,10.0,15.0,11.0,28.0,8.0,150.0,44.0,92.0,64.0,32.0,0.0,3.0,0.0,432.0,3.0,0.0,0.0,18.0,0.0,13.0,8.0,2.0,112.0,95.0,103.0,17.0,52.0,9.0,0.0,0.0,04170,04
0404200,"Klondyke Elementary District, Arizona",40.0,26.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,3.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,04200,04
0404230,"Kyrene Elementary District, Arizona",109538.0,52182.0,234.0,86.0,207.0,121.0,357.0,206.0,396.0,540.0,7191.0,2740.0,8472.0,4635.0,15751.0,7834.0,1818.0,1594.0,57356.0,167.0,66.0,95.0,245.0,227.0,300.0,446.0,794.0,7453.0,4137.0,9349.0,6013.0,16979.0,8542.0,1262.0,1281.0,04230,04
0404290,"Laveen Elementary District, Arizona",29299.0,13938.0,333.0,186.0,292.0,324.0,229.0,316.0,315.0,361.0,3631.0,852.0,2169.0,1654.0,2121.0,871.0,145.0,139.0,15361.0,418.0,160.0,487.0,419.0,122.0,236.0,375.0,447.0,3606.0,1134.0,2505.0,1349.0,2737.0,1121.0,155.0,90.0,04290,04
0404320,"Liberty Elementary District, Arizona",18626.0,9246.0,154.0,91.0,171.0,169.0,126.0,195.0,168.0,237.0,2274.0,725.0,2055.0,836.0,1415.0,488.0,84.0,58.0,9380.0,207.0,99.0,141.0,138.0,79.0,112.0,120.0,318.0,2509.0,836.0,1544.0,1009.0,1531.0,587.0,68.0,82.0,04320,04
0404380,"Litchfield Elementary District, Arizona",59705.0,27372.0,234.0,36.0,203.0,123.0,150.0,320.0,180.0,481.0,5553.0,2394.0,5357.0,2750.0,5621.0,2859.0,723.0,388.0,32333.0,416.0,205.0,267.0,230.0,293.0,436.0,559.0,629.0,6231.0,2777.0,7177.0,3438.0,5933.0,3106.0,341.0,295.0,04380,04
0404440,"Littleton Elementary District, Arizona",26063.0,12528.0,320.0,134.0,235.0,496.0,435.0,307.0,485.0,431.0,3674.0,784.0,2359.0,965.0,1387.0,364.0,73.0,79.0,13535.0,320.0,195.0,379.0,316.0,353.0,295.0,326.0,222.0,3998.0,896.0,2777.0,1079.0,1544.0,704.0,56.0,75.0,04440,04
0404500,"Madison Elementary District, Arizona",44008.0,21889.0,275.0,39.0,226.0,287.0,215.0,125.0,122.0,127.0,3819.0,1029.0,2853.0,1778.0,6150.0,2607.0,1790.0,447.0,22119.0,197.0,106.0,168.0,169.0,335.0,118.0,333.0,248.0,3320.0,1219.0,3105.0,1471.0,6582.0,2956.0,1300.0,492.0,04500,04
0404530,"Maine Consolidated School District, Arizona",1551.0,871.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,178.0,55.0,201.0,96.0,209.0,71.0,45.0,0.0,680.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,165.0,108.0,106.0,114.0,98.0,66.0,11.0,0.0,04530,04
0404770,"Altar Valley Elementary District, Arizona",5068.0,2422.0,51.0,0.0,74.0,88.0,40.0,16.0,160.0,94.0,797.0,130.0,573.0,161.0,117.0,60.0,0.0,61.0,2646.0,69.0,28.0,57.0,0.0,118.0,33.0,150.0,40.0,1112.0,150.0,449.0,158.0,179.0,56.0,9.0,38.0,04770,04
0404860,"McNary Elementary District, Arizona",304.0,166.0,0.0,0.0,1.0,7.0,6.0,10.0,9.0,11.0,64.0,0.0,46.0,6.0,6.0,0.0,0.0,0.0,138.0,0.0,0.0,4.0,3.0,0.0,6.0,10.0,3.0,54.0,3.0,39.0,6.0,8.0,2.0,0.0,0.0,04860,04
0404920,"McNeal Elementary District, Arizona",309.0,162.0,4.0,10.0,3.0,0.0,8.0,8.0,3.0,0.0,26.0,14.0,33.0,23.0,12.0,10.0,8.0,0.0,147.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,30.0,5.0,44.0,19.0,25.0,13.0,0.0,0.0,04920,04
0405100,"Mobile Elementary District, Arizona",54.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,14.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,05100,04
0405190,"Mohave Valley Elementary District, Arizona",17449.0,8734.0,62.0,6.0,102.0,131.0,107.0,327.0,184.0,197.0,3311.0,665.0,1514.0,891.0,806.0,336.0,61.0,34.0,8715.0,45.0,31.0,10.0,129.0,118.0,377.0,370.0,180.0,3659.0,818.0,1431.0,684.0,534.0,299.0,30.0,0.0,05190,04
0405220,"Mohawk Valley Elementary District, Arizona",1054.0,555.0,16.0,4.0,42.0,8.0,11.0,11.0,31.0,20.0,194.0,48.0,71.0,48.0,44.0,7.0,0.0,0.0,499.0,10.0,6.0,12.0,16.0,69.0,8.0,2.0,0.0,142.0,47.0,88.0,20.0,44.0,35.0,0.0,0.0,05220,04
0405340,"Morristown Elementary District, Arizona",1271.0,626.0,0.0,0.0,7.0,16.0,9.0,2.0,7.0,9.0,224.0,45.0,140.0,56.0,83.0,22.0,0.0,6.0,645.0,3.0,0.0,13.0,31.0,3.0,18.0,18.0,10.0,206.0,94.0,158.0,30.0,34.0,27.0,0.0,0.0,05340,04
0405400,"Murphy Elementary District, Arizona",7900.0,5520.0,211.0,136.0,270.0,334.0,263.0,236.0,260.0,145.0,1964.0,260.0,859.0,244.0,307.0,22.0,9.0,0.0,2380.0,96.0,119.0,193.0,263.0,156.0,74.0,181.0,84.0,757.0,60.0,184.0,102.0,111.0,0.0,0.0,0.0,05400,04
