geoid,name,universe,10_and_under,10_15,15_20,20_25,25_30,30_35,35_40,40_45,45_50,50_60,60_75,75_100,100_125,125_150,150_200,200_and_up,school district (unified),state
0100660,"Chilton County School District, Alabama",13798.0,1194.0,993.0,618.0,828.0,838.0,803.0,786.0,518.0,713.0,1287.0,1318.0,1625.0,1028.0,505.0,507.0,237.0,00660,01
0100690,"Choctaw County School District, Alabama",3049.0,268.0,178.0,279.0,227.0,141.0,195.0,113.0,62.0,133.0,200.0,399.0,354.0,224.0,67.0,132.0,77.0,00690,01
0100750,"Clay County School District, Alabama",4406.0,405.0,312.0,216.0,453.0,341.0,253.0,95.0,277.0,269.0,412.0,348.0,468.0,192.0,202.0,66.0,97.0,00750,01
0100780,"Cleburne County School District, Alabama",5234.0,498.0,413.0,405.0,438.0,251.0,371.0,205.0,286.0,164.0,529.0,556.0,471.0,242.0,217.0,132.0,56.0,00780,01
0100810,"Coffee County School District, Alabama",6109.0,301.0,425.0,264.0,396.0,301.0,371.0,344.0,259.0,307.0,535.0,629.0,767.0,519.0,286.0,289.0,116.0,00810,01
0100840,"Colbert County School District, Alabama",7782.0,483.0,455.0,623.0,512.0,411.0,358.0,438.0,341.0,436.0,723.0,1024.0,1013.0,428.0,228.0,198.0,111.0,00840,01
0100870,"Conecuh County School District, Alabama",2544.0,319.0,255.0,220.0,197.0,170.0,175.0,142.0,94.0,137.0,150.0,233.0,222.0,119.0,45.0,40.0,26.0,00870,01
0102250,"Marengo County School District, Alabama",1327.0,178.0,54.0,78.0,73.0,32.0,116.0,15.0,85.0,55.0,68.0,190.0,163.0,90.0,65.0,51.0,14.0,02250,01
0102310,"Marion County School District, Alabama",9709.0,958.0,943.0,819.0,842.0,560.0,790.0,567.0,473.0,443.0,794.0,709.0,755.0,505.0,289.0,112.0,150.0,02310,01
0102350,"Midfield City School District, Alabama",281.0,22.0,14.0,57.0,8.0,21.0,55.0,15.0,7.0,16.0,21.0,19.0,18.0,8.0,0.0,0.0,0.0,02350,01
0102370,"Mobile County School District, Alabama",85364.0,5442.0,3676.0,4200.0,4496.0,4310.0,4392.0,3828.0,3755.0,3384.0,8055.0,8922.0,11184.0,7312.0,4649.0,4065.0,3694.0,02370,01
0102400,"Monroe County School District, Alabama",4566.0,821.0,231.0,256.0,264.0,266.0,199.0,209.0,198.0,248.0,407.0,319.0,435.0,375.0,126.0,168.0,44.0,02400,01
0102430,"Montgomery County School District, Alabama",32822.0,1651.0,1334.0,1276.0,1566.0,1373.0,1486.0,1574.0,1288.0,1643.0,2602.0,3166.0,4235.0,3290.0,1594.0,2386.0,2358.0,02430,01
0102480,"Morgan County School District, Alabama",16674.0,1334.0,749.0,886.0,841.0,925.0,1328.0,616.0,818.0,816.0,1475.0,2111.0,1948.0,1311.0,568.0,679.0,269.0,02480,01
0102490,"Mountain Brook City School District, Alabama",7165.0,275.0,99.0,75.0,98.0,163.0,101.0,180.0,26.0,156.0,183.0,409.0,890.0,670.0,714.0,787.0,2339.0,02490,01
0102610,"Opp City School District, Alabama",2179.0,209.0,136.0,175.0,173.0,176.0,200.0,125.0,72.0,47.0,192.0,195.0,283.0,93.0,42.0,45.0,16.0,02610,01
0100189,"Satsuma City School District, Alabama",2016.0,100.0,36.0,145.0,114.0,97.0,101.0,119.0,27.0,71.0,156.0,197.0,318.0,209.0,62.0,156.0,108.0,00189,01
0100188,"Chickasaw City School District, Alabama",1306.0,153.0,89.0,111.0,92.0,109.0,80.0,49.0,47.0,39.0,155.0,140.0,143.0,20.0,53.0,6.0,20.0,00188,01
0100190,"Alabaster City School District, Alabama",8252.0,188.0,153.0,251.0,284.0,195.0,280.0,321.0,275.0,168.0,699.0,1144.0,1390.0,1246.0,758.0,677.0,223.0,00190,01
0100185,"Saraland City School District, Alabama",4167.0,184.0,112.0,103.0,160.0,232.0,284.0,150.0,221.0,140.0,398.0,561.0,751.0,414.0,206.0,196.0,55.0,00185,01
0102520,"Muscle Shoals City School District, Alabama",4455.0,237.0,111.0,314.0,222.0,318.0,162.0,243.0,160.0,166.0,397.0,585.0,626.0,386.0,277.0,199.0,52.0,02520,01
0102550,"Oneonta City School District, Alabama",1871.0,212.0,78.0,77.0,86.0,65.0,152.0,53.0,76.0,42.0,143.0,275.0,159.0,160.0,48.0,122.0,123.0,02550,01
0102580,"Opelika City School District, Alabama",6342.0,300.0,539.0,235.0,356.0,205.0,198.0,267.0,198.0,367.0,657.0,763.0,821.0,599.0,383.0,228.0,226.0,02580,01
0102635,"Oxford City School District, Alabama",6419.0,443.0,269.0,205.0,393.0,222.0,420.0,290.0,382.0,206.0,627.0,842.0,1031.0,406.0,291.0,300.0,92.0,02635,01
0102640,"Ozark City School District, Alabama",4298.0,355.0,292.0,248.0,308.0,214.0,113.0,321.0,148.0,244.0,421.0,486.0,465.0,283.0,169.0,119.0,112.0,02640,01
0102650,"Pell City City School District, Alabama",10154.0,794.0,703.0,617.0,678.0,289.0,574.0,536.0,561.0,497.0,700.0,1260.0,1192.0,645.0,462.0,351.0,295.0,02650,01
0102670,"Perry County School District, Alabama",1012.0,128.0,84.0,40.0,167.0,77.0,60.0,55.0,25.0,52.0,92.0,83.0,34.0,59.0,20.0,27.0,9.0,02670,01
0102700,"Phenix City City School District, Alabama",6943.0,560.0,173.0,443.0,257.0,280.0,385.0,544.0,491.0,207.0,676.0,965.0,839.0,451.0,261.0,237.0,174.0,02700,01
0102730,"Pickens County School District, Alabama",4420.0,386.0,301.0,286.0,220.0,240.0,173.0,146.0,238.0,167.0,436.0,374.0,596.0,509.0,152.0,82.0,114.0,02730,01
0102760,"Piedmont City School District, Alabama",2347.0,256.0,311.0,175.0,159.0,172.0,155.0,101.0,117.0,130.0,122.0,184.0,172.0,155.0,61.0,51.0,26.0,02760,01
0102790,"Pike County School District, Alabama",3574.0,297.0,180.0,141.0,223.0,156.0,237.0,294.0,156.0,189.0,329.0,335.0,460.0,266.0,146.0,139.0,26.0,02790,01
0102820,"Randolph County School District, Alabama",5606.0,564.0,626.0,216.0,378.0,282.0,294.0,229.0,322.0,388.0,588.0,700.0,364.0,302.0,139.0,88.0,126.0,02820,01
