geoid,name,universe,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,school district (unified),state
0100660,"Chilton County School District, Alabama",43229.0,37962.0,3589.0,1074.0,518.0,86.0,00660,01
0100690,"Choctaw County School District, Alabama",13084.0,11656.0,1006.0,172.0,231.0,19.0,00690,01
0100750,"Clay County School District, Alabama",13300.0,12066.0,877.0,230.0,102.0,25.0,00750,01
0100780,"Cleburne County School District, Alabama",14458.0,12343.0,1079.0,428.0,582.0,26.0,00780,01
0100810,"Coffee County School District, Alabama",18746.0,16568.0,663.0,736.0,704.0,75.0,00810,01
0100840,"Colbert County School District, Alabama",23057.0,20997.0,1147.0,631.0,241.0,41.0,00840,01
0100870,"Conecuh County School District, Alabama",12506.0,11967.0,324.0,180.0,28.0,7.0,00870,01
0102250,"Marengo County School District, Alabama",8597.0,8014.0,312.0,226.0,28.0,17.0,02250,01
0102310,"Marion County School District, Alabama",24654.0,21486.0,1401.0,1302.0,435.0,30.0,02310,01
0102350,"Midfield City School District, Alabama",5164.0,4584.0,491.0,57.0,8.0,24.0,02350,01
0102370,"Mobile County School District, Alabama",383584.0,334524.0,37889.0,3794.0,6456.0,921.0,02370,01
0102400,"Monroe County School District, Alabama",21446.0,19638.0,1124.0,439.0,231.0,14.0,02400,01
0102430,"Montgomery County School District, Alabama",213965.0,168099.0,30061.0,8424.0,5807.0,1574.0,02430,01
0102480,"Morgan County School District, Alabama",49412.0,43978.0,3454.0,1419.0,487.0,74.0,02480,01
0102490,"Mountain Brook City School District, Alabama",20180.0,17953.0,1523.0,365.0,339.0,0.0,02490,01
0102610,"Opp City School District, Alabama",6523.0,5683.0,644.0,183.0,13.0,0.0,02610,01
0100189,"Satsuma City School District, Alabama",6046.0,5469.0,522.0,6.0,49.0,0.0,00189,01
0100188,"Chickasaw City School District, Alabama",5775.0,4584.0,778.0,125.0,283.0,5.0,00188,01
0100190,"Alabaster City School District, Alabama",32189.0,28828.0,1688.0,649.0,973.0,51.0,00190,01
0100185,"Saraland City School District, Alabama",13765.0,11609.0,1656.0,85.0,385.0,30.0,00185,01
0102520,"Muscle Shoals City School District, Alabama",13613.0,12466.0,611.0,523.0,13.0,0.0,02520,01
0102550,"Oneonta City School District, Alabama",6585.0,5765.0,437.0,255.0,71.0,57.0,02550,01
0102580,"Opelika City School District, Alabama",28998.0,24332.0,2837.0,1002.0,799.0,28.0,02580,01
0102635,"Oxford City School District, Alabama",23011.0,19301.0,1791.0,1702.0,199.0,18.0,02635,01
0102640,"Ozark City School District, Alabama",16114.0,13874.0,1535.0,393.0,270.0,42.0,02640,01
0102650,"Pell City City School District, Alabama",28782.0,24644.0,2090.0,1613.0,418.0,17.0,02650,01
0102670,"Perry County School District, Alabama",9609.0,9002.0,143.0,353.0,111.0,0.0,02670,01
0102700,"Phenix City City School District, Alabama",36105.0,28103.0,3774.0,1055.0,3050.0,123.0,02700,01
0102730,"Pickens County School District, Alabama",19939.0,18163.0,873.0,369.0,501.0,33.0,02730,01
0102760,"Piedmont City School District, Alabama",6235.0,5405.0,481.0,200.0,141.0,8.0,02760,01
0102790,"Pike County School District, Alabama",14111.0,13113.0,596.0,221.0,175.0,6.0,02790,01
0102820,"Randolph County School District, Alabama",16427.0,14977.0,795.0,405.0,240.0,10.0,02820,01
0102850,"Roanoke City School District, Alabama",5819.0,5165.0,429.0,39.0,186.0,0.0,02850,01
0102880,"Russell County School District, Alabama",26189.0,22066.0,1321.0,630.0,2036.0,136.0,02880,01
0102910,"Russellville City School District, Alabama",9560.0,8532.0,474.0,483.0,24.0,47.0,02910,01
0102940,"Scottsboro City School District, Alabama",14521.0,13496.0,630.0,239.0,156.0,0.0,02940,01
0102970,"Selma City School District, Alabama",18827.0,16501.0,1775.0,331.0,177.0,43.0,02970,01
0103000,"Sheffield City School District, Alabama",8943.0,7522.0,961.0,335.0,119.0,6.0,03000,01
0103030,"Shelby County School District, Alabama",125061.0,108886.0,7574.0,5396.0,3019.0,186.0,03030,01
0103150,"Talladega City School District, Alabama",15608.0,12963.0,1730.0,536.0,350.0,29.0,03150,01
0103062,"St. Clair County School District, Alabama",54823.0,49234.0,2614.0,2705.0,264.0,6.0,03062,01
0103090,"Sumter County School District, Alabama",13005.0,12335.0,279.0,305.0,78.0,8.0,03090,01
0103120,"Sylacauga City School District, Alabama",12349.0,9747.0,2055.0,486.0,44.0,17.0,03120,01
0103180,"Talladega County School District, Alabama",48130.0,43272.0,3024.0,1312.0,449.0,73.0,03180,01
0103210,"Tallapoosa County School District, Alabama",21747.0,20136.0,1073.0,259.0,265.0,14.0,03210,01
0103330,"Troy City School District, Alabama",18672.0,15545.0,1321.0,1023.0,436.0,347.0,03330,01
0103240,"Tallassee City School District, Alabama",8787.0,7895.0,366.0,507.0,19.0,0.0,03240,01
0103270,"Tarrant City School District, Alabama",6156.0,4986.0,1035.0,37.0,65.0,33.0,03270,01
0103300,"Thomasville City School District, Alabama",5453.0,4935.0,307.0,28.0,164.0,19.0,03300,01
0103360,"Tuscaloosa City School District, Alabama",95258.0,71131.0,11594.0,5115.0,6814.0,604.0,03360,01
0103390,"Tuscaloosa County School District, Alabama",106656.0,94542.0,7688.0,2597.0,1604.0,225.0,03390,01
0103420,"Tuscumbia City School District, Alabama",8379.0,6932.0,994.0,190.0,86.0,177.0,03420,01
0100194,"Pelham City School District, Alabama",22611.0,19980.0,1426.0,801.0,391.0,13.0,00194,01
0100720,"Clarke County School District, Alabama",18994.0,17423.0,1197.0,210.0,114.0,50.0,00720,01
0100007,"Hoover City School District, Alabama",81995.0,67640.0,7591.0,3413.0,2940.0,411.0,00007,01
0100008,"Madison City School District, Alabama",46789.0,40450.0,3369.0,1348.0,1352.0,270.0,00008,01
0100011,"Leeds City School District, Alabama",11592.0,10366.0,602.0,479.0,136.0,9.0,00011,01
