geoid,name,median,school district (unified),state
0100660,"Chilton County School District, Alabama",98600.0,00660,01
0100690,"Choctaw County School District, Alabama",69000.0,00690,01
0100750,"Clay County School District, Alabama",89300.0,00750,01
0100780,"Cleburne County School District, Alabama",112900.0,00780,01
0100810,"Coffee County School District, Alabama",113100.0,00810,01
0100840,"Colbert County School District, Alabama",101100.0,00840,01
0100870,"Conecuh County School District, Alabama",76100.0,00870,01
0102250,"Marengo County School District, Alabama",79800.0,02250,01
0102310,"Marion County School District, Alabama",83600.0,02310,01
0102350,"Midfield City School District, Alabama",78600.0,02350,01
0102370,"Mobile County School District, Alabama",123800.0,02370,01
0102400,"Monroe County School District, Alabama",88000.0,02400,01
0102430,"Montgomery County School District, Alabama",119800.0,02430,01
0102480,"Morgan County School District, Alabama",122800.0,02480,01
0102490,"Mountain Brook City School District, Alabama",578100.0,02490,01
0102610,"Opp City School District, Alabama",89400.0,02610,01
0100189,"Satsuma City School District, Alabama",153300.0,00189,01
0100188,"Chickasaw City School District, Alabama",79200.0,00188,01
0100190,"Alabaster City School District, Alabama",167800.0,00190,01
0100185,"Saraland City School District, Alabama",136200.0,00185,01
0102520,"Muscle Shoals City School District, Alabama",139600.0,02520,01
0102550,"Oneonta City School District, Alabama",151400.0,02550,01
0102580,"Opelika City School District, Alabama",151400.0,02580,01
0102635,"Oxford City School District, Alabama",131300.0,02635,01
0102640,"Ozark City School District, Alabama",109600.0,02640,01
0102650,"Pell City City School District, Alabama",147000.0,02650,01
0102670,"Perry County School District, Alabama",69100.0,02670,01
0102700,"Phenix City City School District, Alabama",123400.0,02700,01
0102730,"Pickens County School District, Alabama",91800.0,02730,01
0102760,"Piedmont City School District, Alabama",78200.0,02760,01
0102790,"Pike County School District, Alabama",84600.0,02790,01
0102820,"Randolph County School District, Alabama",86900.0,02820,01
0102850,"Roanoke City School District, Alabama",79300.0,02850,01
0102880,"Russell County School District, Alabama",121100.0,02880,01
0102910,"Russellville City School District, Alabama",101800.0,02910,01
0102940,"Scottsboro City School District, Alabama",130500.0,02940,01
0102970,"Selma City School District, Alabama",89100.0,02970,01
0103000,"Sheffield City School District, Alabama",87700.0,03000,01
0103030,"Shelby County School District, Alabama",194600.0,03030,01
0103150,"Talladega City School District, Alabama",84500.0,03150,01
0103062,"St. Clair County School District, Alabama",139700.0,03062,01
0103090,"Sumter County School District, Alabama",69500.0,03090,01
0103120,"Sylacauga City School District, Alabama",117800.0,03120,01
0103180,"Talladega County School District, Alabama",87500.0,03180,01
0103210,"Tallapoosa County School District, Alabama",112100.0,03210,01
0103330,"Troy City School District, Alabama",147600.0,03330,01
0103240,"Tallassee City School District, Alabama",116900.0,03240,01
0103270,"Tarrant City School District, Alabama",76500.0,03270,01
0103300,"Thomasville City School District, Alabama",113300.0,03300,01
0103360,"Tuscaloosa City School District, Alabama",171300.0,03360,01
0103390,"Tuscaloosa County School District, Alabama",158100.0,03390,01
0103420,"Tuscumbia City School District, Alabama",107300.0,03420,01
0100194,"Pelham City School District, Alabama",175300.0,00194,01
0100720,"Clarke County School District, Alabama",89700.0,00720,01
0100007,"Hoover City School District, Alabama",270100.0,00007,01
0100008,"Madison City School District, Alabama",239400.0,00008,01
0100011,"Leeds City School District, Alabama",153500.0,00011,01
0100600,"Chambers County School District, Alabama",85100.0,00600,01
0100630,"Cherokee County School District, Alabama",116300.0,00630,01
0100540,"Calhoun County School District, Alabama",107700.0,00540,01
0101260,"Elba City School District, Alabama",98200.0,01260,01
0101170,"Decatur City School District, Alabama",130600.0,01170,01
0101200,"Demopolis City School District, Alabama",115500.0,01200,01
0101230,"Dothan City School District, Alabama",143800.0,01230,01
0103430,"Vestavia Hills City School District, Alabama",360800.0,03430,01
0103450,"Walker County School District, Alabama",80700.0,03450,01
0103480,"Washington County School District, Alabama",83900.0,03480,01
0103510,"Wilcox County School District, Alabama",81600.0,03510,01
0103540,"Winfield City School District, Alabama",108500.0,03540,01
0103580,"Winston County School District, Alabama",84900.0,03580,01
