geoid,name,universe,in_labor_force,civilian,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,school district (elementary),state
0100195,"Pike Road City School District, Alabama",6544.0,4803.0,4762.0,4569.0,193.0,41.0,1741.0,00195,01
0199999,"Remainder of Alabama, Alabama",3869592.0,2228406.0,2216138.0,2050940.0,165198.0,12268.0,1641186.0,99999,01
0408550,"Toltec Elementary District, Arizona",12115.0,6313.0,6313.0,5650.0,663.0,0.0,5802.0,08550,04
0408640,"Topock Elementary District, Arizona",1858.0,687.0,687.0,639.0,48.0,0.0,1171.0,08640,04
0408820,"Union Elementary District, Arizona",12342.0,8750.0,8738.0,8175.0,563.0,12.0,3592.0,08820,04
0408880,"Valentine Elementary District, Arizona",190.0,87.0,87.0,77.0,10.0,0.0,103.0,08880,04
0409030,"Walnut Grove Elementary District, Arizona",93.0,49.0,49.0,47.0,2.0,0.0,44.0,09030,04
0409060,"Washington Elementary District, Arizona",185816.0,119472.0,119377.0,109863.0,9514.0,95.0,66344.0,09060,04
0409090,"Wellton Elementary District, Arizona",3777.0,1250.0,1250.0,1186.0,64.0,0.0,2527.0,09090,04
0409120,"Wenden Elementary District, Arizona",364.0,147.0,147.0,126.0,21.0,0.0,217.0,09120,04
0409360,"Williamson Valley Elementary School District, Arizona",585.0,263.0,263.0,245.0,18.0,0.0,322.0,09360,04
0409390,"Wilson Elementary District, Arizona",2823.0,1811.0,1811.0,1602.0,209.0,0.0,1012.0,09390,04
0409510,"Yarnell Elementary District, Arizona",1134.0,270.0,270.0,251.0,19.0,0.0,864.0,09510,04
0409540,"Young Elementary School District, Arizona",597.0,167.0,167.0,143.0,24.0,0.0,430.0,09540,04
0409570,"Yucca Elementary District, Arizona",486.0,175.0,175.0,123.0,52.0,0.0,311.0,09570,04
0409600,"Yuma Elementary District, Arizona",81621.0,42370.0,39470.0,35347.0,4123.0,2900.0,39251.0,09600,04
0499999,"Remainder of Arizona, Arizona",3583841.0,2112669.0,2101031.0,1956221.0,144810.0,11638.0,1471172.0,99999,04
0407920,"Sonoita Elementary District, Arizona",1566.0,662.0,662.0,635.0,27.0,0.0,904.0,07920,04
0408130,"Stanfield Elementary District, Arizona",3428.0,1625.0,1613.0,1414.0,199.0,12.0,1803.0,08130,04
0408310,"Tempe School District, Arizona",134074.0,92370.0,92338.0,86508.0,5830.0,32.0,41704.0,08310,04
0400022,"Vernon Elementary District, Arizona",1386.0,595.0,595.0,563.0,32.0,0.0,791.0,00022,04
0400480,"Aguila Elementary District, Arizona",1218.0,845.0,845.0,758.0,87.0,0.0,373.0,00480,04
0400004,"Clarkdale-Jerome Elementary District, Arizona",3610.0,2066.0,2066.0,1806.0,260.0,0.0,1544.0,00004,04
0400005,"Salome Consolidated Elementary District, Arizona",2348.0,568.0,568.0,555.0,13.0,0.0,1780.0,00005,04
0400840,"Arlington Elementary District, Arizona",1166.0,651.0,651.0,534.0,117.0,0.0,515.0,00840,04
0400600,"Alhambra Elementary District, Arizona",63347.0,38315.0,38315.0,35273.0,3042.0,0.0,25032.0,00600,04
0400630,"Alpine Elementary District, Arizona",291.0,138.0,138.0,129.0,9.0,0.0,153.0,00630,04
0400750,"Apache Elementary District, Arizona",120.0,45.0,45.0,45.0,0.0,0.0,75.0,00750,04
0400870,"Ash Creek Elementary District, Arizona",562.0,225.0,225.0,218.0,7.0,0.0,337.0,00870,04
0400960,"Avondale Elementary District, Arizona",35530.0,23905.0,23698.0,22523.0,1175.0,207.0,11625.0,00960,04
0401050,"Balsz Elementary District, Arizona",25417.0,18826.0,18695.0,17504.0,1191.0,131.0,6591.0,01050,04
0401080,"Beaver Creek Elementary District, Arizona",4643.0,2498.0,2498.0,2185.0,313.0,0.0,2145.0,01080,04
0401230,"Blue Elementary District, Arizona",49.0,14.0,14.0,10.0,4.0,0.0,35.0,01230,04
0401260,"Bonita Elementary District, Arizona",818.0,119.0,119.0,105.0,14.0,0.0,699.0,01260,04
0401290,"Bouse Elementary District, Arizona",922.0,156.0,156.0,156.0,0.0,0.0,766.0,01290,04
0401380,"Buckeye Elementary District, Arizona",31859.0,16498.0,16338.0,15244.0,1094.0,160.0,15361.0,01380,04
0401500,"Bullhead City School District, Arizona",34279.0,15809.0,15783.0,14357.0,1426.0,26.0,18470.0,01500,04
0401650,"Canon Elementary District, Arizona",2621.0,1102.0,1102.0,1025.0,77.0,0.0,1519.0,01650,04
0401680,"Cartwright Elementary District, Arizona",89509.0,55099.0,55087.0,50061.0,5026.0,12.0,34410.0,01680,04
0401710,"Casa Grande Elementary District, Arizona",49754.0,28169.0,28117.0,25730.0,2387.0,52.0,21585.0,01710,04
0402190,"Concho Elementary District, Arizona",2225.0,788.0,788.0,702.0,86.0,0.0,1437.0,02190,04
0402220,"Congress Elementary District, Arizona",1602.0,523.0,523.0,496.0,27.0,0.0,1079.0,02220,04
0401920,"Chevelon Butte School District, Arizona",613.0,145.0,145.0,145.0,0.0,0.0,468.0,01920,04
0402130,"Cochise Elementary District, Arizona",237.0,93.0,93.0,91.0,2.0,0.0,144.0,02130,04
0402430,"Creighton Elementary District, Arizona",54680.0,37182.0,37138.0,33992.0,3146.0,44.0,17498.0,02430,04
0402250,"Continental Elementary District, Arizona",26506.0,5349.0,5299.0,4910.0,389.0,50.0,21157.0,02250,04
0402370,"Cottonwood-Oak Creek Elementary District, Arizona",25832.0,13141.0,13126.0,12118.0,1008.0,15.0,12691.0,02370,04
0402400,"Crane Elementary District, Arizona",32519.0,20530.0,20036.0,18249.0,1787.0,494.0,11989.0,02400,04
0402460,"Crown King Elementary District, Arizona",74.0,30.0,30.0,30.0,0.0,0.0,44.0,02460,04
0402490,"Double Adobe Elementary District, Arizona",358.0,169.0,169.0,157.0,12.0,0.0,189.0,02490,04
0402710,"Eagle Elementary District, Arizona",63.0,34.0,34.0,34.0,0.0,0.0,29.0,02710,04
0402760,"Elfrida Elementary District, Arizona",710.0,289.0,289.0,265.0,24.0,0.0,421.0,02760,04
0402790,"Eloy Elementary District, Arizona",4102.0,2127.0,2127.0,1875.0,252.0,0.0,1975.0,02790,04
0402820,"Empire Elementary District, Arizona",519.0,201.0,190.0,176.0,14.0,11.0,318.0,02820,04
0403060,"Fowler Elementary District, Arizona",25501.0,17225.0,17215.0,15829.0,1386.0,10.0,8276.0,03060,04
0403240,"Gadsden Elementary District, Arizona",21289.0,13439.0,13439.0,11300.0,2139.0,0.0,7850.0,03240,04
0403420,"Glendale Elementary District, Arizona",78043.0,46474.0,46424.0,42799.0,3625.0,50.0,31569.0,03420,04
0403660,"Hackberry School District, Arizona",1100.0,377.0,377.0,344.0,33.0,0.0,723.0,03660,04
0403900,"Hyder Elementary District, Arizona",444.0,251.0,251.0,237.0,14.0,0.0,193.0,03900,04
0403960,"Isaac Elementary District, Arizona",30684.0,16183.0,16138.0,14949.0,1189.0,45.0,14501.0,03960,04
0404170,"Kirkland Elementary District, Arizona",975.0,342.0,342.0,318.0,24.0,0.0,633.0,04170,04
0404200,"Klondyke Elementary District, Arizona",41.0,13.0,13.0,13.0,0.0,0.0,28.0,04200,04
0404230,"Kyrene Elementary District, Arizona",127794.0,92767.0,92734.0,88731.0,4003.0,33.0,35027.0,04230,04
0404290,"Laveen Elementary District, Arizona",35266.0,23825.0,23819.0,22003.0,1816.0,6.0,11441.0,04290,04
0404320,"Liberty Elementary District, Arizona",22153.0,13672.0,13647.0,12914.0,733.0,25.0,8481.0,04320,04
0404380,"Litchfield Elementary District, Arizona",69157.0,41682.0,41063.0,38974.0,2089.0,619.0,27475.0,04380,04
0404440,"Littleton Elementary District, Arizona",32216.0,22283.0,22233.0,20965.0,1268.0,50.0,9933.0,04440,04
0404500,"Madison Elementary District, Arizona",49191.0,33322.0,33287.0,31549.0,1738.0,35.0,15869.0,04500,04
0404530,"Maine Consolidated School District, Arizona",1604.0,877.0,877.0,834.0,43.0,0.0,727.0,04530,04
0404770,"Altar Valley Elementary District, Arizona",5870.0,2878.0,2874.0,2409.0,465.0,4.0,2992.0,04770,04
0404860,"McNary Elementary District, Arizona",441.0,261.0,261.0,164.0,97.0,0.0,180.0,04860,04
0404920,"McNeal Elementary District, Arizona",350.0,182.0,182.0,165.0,17.0,0.0,168.0,04920,04
0405100,"Mobile Elementary District, Arizona",70.0,19.0,19.0,17.0,2.0,0.0,51.0,05100,04
0405190,"Mohave Valley Elementary District, Arizona",19109.0,8810.0,8810.0,7902.0,908.0,0.0,10299.0,05190,04
0405220,"Mohawk Valley Elementary District, Arizona",1325.0,774.0,771.0,691.0,80.0,3.0,551.0,05220,04
