geoid,name,universe,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,school district (unified),state
0100660,"Chilton County School District, Alabama",187.0,187.0,0.0,0.0,0.0,0.0,00660,01
0100690,"Choctaw County School District, Alabama",8.0,8.0,0.0,0.0,0.0,0.0,00690,01
0100750,"Clay County School District, Alabama",6.0,6.0,0.0,0.0,0.0,0.0,00750,01
0100780,"Cleburne County School District, Alabama",81.0,81.0,0.0,0.0,0.0,0.0,00780,01
0100810,"Coffee County School District, Alabama",108.0,107.0,0.0,0.0,0.0,1.0,00810,01
0100840,"Colbert County School District, Alabama",125.0,101.0,18.0,6.0,0.0,0.0,00840,01
0100870,"Conecuh County School District, Alabama",4.0,4.0,0.0,0.0,0.0,0.0,00870,01
0102250,"Marengo County School District, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,02250,01
0102310,"Marion County School District, Alabama",76.0,75.0,1.0,0.0,0.0,0.0,02310,01
0102350,"Midfield City School District, Alabama",7.0,7.0,0.0,0.0,0.0,0.0,02350,01
0102370,"Mobile County School District, Alabama",7775.0,6744.0,561.0,96.0,154.0,220.0,02370,01
0102400,"Monroe County School District, Alabama",116.0,116.0,0.0,0.0,0.0,0.0,02400,01
0102430,"Montgomery County School District, Alabama",5230.0,3651.0,732.0,191.0,170.0,486.0,02430,01
0102480,"Morgan County School District, Alabama",122.0,91.0,31.0,0.0,0.0,0.0,02480,01
0102490,"Mountain Brook City School District, Alabama",237.0,237.0,0.0,0.0,0.0,0.0,02490,01
0102610,"Opp City School District, Alabama",25.0,25.0,0.0,0.0,0.0,0.0,02610,01
0100189,"Satsuma City School District, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,00189,01
0100188,"Chickasaw City School District, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,00188,01
0100190,"Alabaster City School District, Alabama",282.0,263.0,19.0,0.0,0.0,0.0,00190,01
0100185,"Saraland City School District, Alabama",250.0,212.0,15.0,0.0,0.0,23.0,00185,01
0102520,"Muscle Shoals City School District, Alabama",114.0,114.0,0.0,0.0,0.0,0.0,02520,01
0102550,"Oneonta City School District, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,02550,01
0102580,"Opelika City School District, Alabama",694.0,613.0,17.0,39.0,12.0,13.0,02580,01
0102635,"Oxford City School District, Alabama",345.0,336.0,0.0,9.0,0.0,0.0,02635,01
0102640,"Ozark City School District, Alabama",142.0,87.0,0.0,31.0,24.0,0.0,02640,01
0102650,"Pell City City School District, Alabama",465.0,421.0,0.0,44.0,0.0,0.0,02650,01
0102670,"Perry County School District, Alabama",23.0,23.0,0.0,0.0,0.0,0.0,02670,01
0102700,"Phenix City City School District, Alabama",307.0,267.0,40.0,0.0,0.0,0.0,02700,01
0102730,"Pickens County School District, Alabama",13.0,2.0,0.0,0.0,11.0,0.0,02730,01
0102760,"Piedmont City School District, Alabama",13.0,13.0,0.0,0.0,0.0,0.0,02760,01
0102790,"Pike County School District, Alabama",42.0,42.0,0.0,0.0,0.0,0.0,02790,01
0102820,"Randolph County School District, Alabama",25.0,25.0,0.0,0.0,0.0,0.0,02820,01
0102850,"Roanoke City School District, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,02850,01
0102880,"Russell County School District, Alabama",95.0,49.0,0.0,17.0,9.0,20.0,02880,01
0102910,"Russellville City School District, Alabama",102.0,0.0,102.0,0.0,0.0,0.0,02910,01
0102940,"Scottsboro City School District, Alabama",161.0,161.0,0.0,0.0,0.0,0.0,02940,01
0102970,"Selma City School District, Alabama",143.0,120.0,0.0,0.0,10.0,13.0,02970,01
0103000,"Sheffield City School District, Alabama",12.0,12.0,0.0,0.0,0.0,0.0,03000,01
0103030,"Shelby County School District, Alabama",2124.0,1892.0,27.0,96.0,95.0,14.0,03030,01
0103150,"Talladega City School District, Alabama",184.0,156.0,0.0,0.0,0.0,28.0,03150,01
0103062,"St. Clair County School District, Alabama",267.0,267.0,0.0,0.0,0.0,0.0,03062,01
0103090,"Sumter County School District, Alabama",392.0,384.0,0.0,0.0,0.0,8.0,03090,01
0103120,"Sylacauga City School District, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,03120,01
0103180,"Talladega County School District, Alabama",120.0,112.0,0.0,0.0,0.0,8.0,03180,01
0103210,"Tallapoosa County School District, Alabama",12.0,12.0,0.0,0.0,0.0,0.0,03210,01
0103330,"Troy City School District, Alabama",648.0,418.0,170.0,27.0,0.0,33.0,03330,01
0103240,"Tallassee City School District, Alabama",166.0,166.0,0.0,0.0,0.0,0.0,03240,01
0103270,"Tarrant City School District, Alabama",79.0,79.0,0.0,0.0,0.0,0.0,03270,01
0103300,"Thomasville City School District, Alabama",102.0,102.0,0.0,0.0,0.0,0.0,03300,01
0103360,"Tuscaloosa City School District, Alabama",2230.0,1451.0,444.0,32.0,103.0,200.0,03360,01
0103390,"Tuscaloosa County School District, Alabama",866.0,823.0,31.0,0.0,12.0,0.0,03390,01
0103420,"Tuscumbia City School District, Alabama",20.0,14.0,6.0,0.0,0.0,0.0,03420,01
0100194,"Pelham City School District, Alabama",375.0,192.0,140.0,43.0,0.0,0.0,00194,01
0100720,"Clarke County School District, Alabama",25.0,25.0,0.0,0.0,0.0,0.0,00720,01
0100007,"Hoover City School District, Alabama",4124.0,3445.0,245.0,16.0,271.0,147.0,00007,01
0100008,"Madison City School District, Alabama",2694.0,2403.0,138.0,0.0,95.0,58.0,00008,01
0100011,"Leeds City School District, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,00011,01
0100600,"Chambers County School District, Alabama",339.0,273.0,27.0,6.0,20.0,13.0,00600,01
0100630,"Cherokee County School District, Alabama",50.0,50.0,0.0,0.0,0.0,0.0,00630,01
0100540,"Calhoun County School District, Alabama",354.0,354.0,0.0,0.0,0.0,0.0,00540,01
0101260,"Elba City School District, Alabama",68.0,68.0,0.0,0.0,0.0,0.0,01260,01
0101170,"Decatur City School District, Alabama",271.0,230.0,19.0,0.0,22.0,0.0,01170,01
0101200,"Demopolis City School District, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,01200,01
0101230,"Dothan City School District, Alabama",809.0,692.0,37.0,33.0,22.0,25.0,01230,01
0103430,"Vestavia Hills City School District, Alabama",1240.0,1139.0,60.0,9.0,25.0,7.0,03430,01
0103450,"Walker County School District, Alabama",145.0,124.0,17.0,4.0,0.0,0.0,03450,01
0103480,"Washington County School District, Alabama",159.0,126.0,0.0,32.0,0.0,1.0,03480,01
0103510,"Wilcox County School District, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,03510,01
0103540,"Winfield City School District, Alabama",38.0,38.0,0.0,0.0,0.0,0.0,03540,01
0103580,"Winston County School District, Alabama",70.0,70.0,0.0,0.0,0.0,0.0,03580,01
0199999,"Remainder of Alabama, Alabama",233.0,139.0,94.0,0.0,0.0,0.0,99999,01
0100001,"Fort Rucker School District, Alabama",115.0,53.0,0.0,0.0,62.0,0.0,00001,01
