B19013D_001E,name,county,state
-666666666.0,"Autauga County, Alabama",001,01
42813.0,"Baldwin County, Alabama",003,01
-666666666.0,"Barbour County, Alabama",005,01
-666666666.0,"Bibb County, Alabama",007,01
-666666666.0,"Blount County, Alabama",009,01
-666666666.0,"Bullock County, Alabama",011,01
91481.0,"Butler County, Alabama",013,01
48125.0,"Calhoun County, Alabama",015,01
69063.0,"Chambers County, Alabama",017,01
-666666666.0,"Cherokee County, Alabama",019,01
-666666666.0,"Chilton County, Alabama",021,01
-666666666.0,"Choctaw County, Alabama",023,01
174219.0,"Clarke County, Alabama",025,01
-666666666.0,"Clay County, Alabama",027,01
-666666666.0,"Cleburne County, Alabama",029,01
45253.0,"Coffee County, Alabama",031,01
99861.0,"Colbert County, Alabama",033,01
-666666666.0,"Conecuh County, Alabama",035,01
-666666666.0,"Coosa County, Alabama",037,01
32344.0,"Covington County, Alabama",039,01
58056.0,"Crenshaw County, Alabama",041,01
30547.0,"Cullman County, Alabama",043,01
70000.0,"Dale County, Alabama",045,01
-666666666.0,"Dallas County, Alabama",047,01
65223.0,"DeKalb County, Alabama",049,01
46979.0,"Elmore County, Alabama",051,01
-666666666.0,"Escambia County, Alabama",053,01
124167.0,"Etowah County, Alabama",055,01
-666666666.0,"Fayette County, Alabama",057,01
-666666666.0,"Franklin County, Alabama",059,01
-666666666.0,"Geneva County, Alabama",061,01
-666666666.0,"Greene County, Alabama",063,01
-666666666.0,"Hale County, Alabama",065,01
-666666666.0,"Henry County, Alabama",067,01
51875.0,"Houston County, Alabama",069,01
2499.0,"Jackson County, Alabama",071,01
62107.0,"Jefferson County, Alabama",073,01
-666666666.0,"Lamar County, Alabama",075,01
-666666666.0,"Lauderdale County, Alabama",077,01
-666666666.0,"Lawrence County, Alabama",079,01
51140.0,"Lee County, Alabama",081,01
-666666666.0,"Limestone County, Alabama",083,01
-666666666.0,"Lowndes County, Alabama",085,01
-666666666.0,"Macon County, Alabama",087,01
76250.0,"Madison County, Alabama",089,01
-666666666.0,"Marengo County, Alabama",091,01
36161.0,"Marion County, Alabama",093,01
-666666666.0,"Marshall County, Alabama",095,01
50879.0,"Mobile County, Alabama",097,01
-666666666.0,"Monroe County, Alabama",099,01
71075.0,"Montgomery County, Alabama",101,01
59205.0,"Morgan County, Alabama",103,01
-666666666.0,"Perry County, Alabama",105,01
-666666666.0,"Pickens County, Alabama",107,01
-666666666.0,"Pike County, Alabama",109,01
-666666666.0,"Randolph County, Alabama",111,01
-666666666.0,"Russell County, Alabama",113,01
66188.0,"St. Clair County, Alabama",115,01
80357.0,"Shelby County, Alabama",117,01
-666666666.0,"Sumter County, Alabama",119,01
138519.0,"Talladega County, Alabama",121,01
-666666666.0,"Tallapoosa County, Alabama",123,01
43413.0,"Tuscaloosa County, Alabama",125,01
-666666666.0,"Walker County, Alabama",127,01
-666666666.0,"Washington County, Alabama",129,01
-666666666.0,"Wilcox County, Alabama",131,01
-666666666.0,"Winston County, Alabama",133,01
66250.0,"Aleutians East Borough, Alaska",013,02
80938.0,"Aleutians West Census Area, Alaska",016,02
65315.0,"Anchorage Municipality, Alaska",020,02
-666666666.0,"Bethel Census Area, Alaska",050,02
-666666666.0,"Bristol Bay Borough, Alaska",060,02
-666666666.0,"Denali Borough, Alaska",068,02
-666666666.0,"Dillingham Census Area, Alaska",070,02
56250.0,"Fairbanks North Star Borough, Alaska",090,02
-666666666.0,"Haines Borough, Alaska",100,02
-666666666.0,"Hoonah-Angoon Census Area, Alaska",105,02
83393.0,"Juneau City and Borough, Alaska",110,02
91250.0,"Kenai Peninsula Borough, Alaska",122,02
59338.0,"Ketchikan Gateway Borough, Alaska",130,02
62656.0,"Kodiak Island Borough, Alaska",150,02
-666666666.0,"Kusilvak Census Area, Alaska",158,02
-666666666.0,"Lake and Peninsula Borough, Alaska",164,02
52614.0,"Matanuska-Susitna Borough, Alaska",170,02
-666666666.0,"Nome Census Area, Alaska",180,02
123594.0,"North Slope Borough, Alaska",185,02
69375.0,"Northwest Arctic Borough, Alaska",188,02
42321.0,"Petersburg Borough, Alaska",195,02
-666666666.0,"Prince of Wales-Hyder Census Area, Alaska",198,02
78542.0,"Sitka City and Borough, Alaska",220,02
58750.0,"Skagway Municipality, Alaska",230,02
33750.0,"Southeast Fairbanks Census Area, Alaska",240,02
-666666666.0,"Valdez-Cordova Census Area, Alaska",261,02
51250.0,"Wrangell City and Borough, Alaska",275,02
129167.0,"Yakutat City and Borough, Alaska",282,02
77500.0,"Yukon-Koyukuk Census Area, Alaska",290,02
58571.0,"Apache County, Arizona",001,04
56691.0,"Cochise County, Arizona",003,04
